source,listing_area,page_number,page_offset,row_index,display_rank,local_display_rank,target_rank,exposure_type,render_state,is_fully_loaded_card,is_placeholder_card,is_listing_target,article_number,product_id,product_id_numeric,variation_id,best_variation_id,list_position,local_list_position,origin,product_url,retailer_sku_name,source_api_product_name,organic_rank,sponsored_rank,retailer_sku_name_without_brand,retailer_sku_name_shortened,canonical_url,final_sku_price,original_sku_price,savings,final_sku_price_text,original_sku_price_text,savings_text,price_sale_flag,price_is_starting_price,sku_popularity_raw,sku_popularity,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,delivery_availability_state,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,image_url,brand,pbk,top_info_diagonal,top_info_screen_technology,top_info_resolution,top_info_refresh_rate,otto_up,sku_status_raw,sku_status,tv_filter_reason,is_tv_sku
topseller_api,everglades/products + crocotile/tile/data,1,0,52,52,52,52,organic,api_enriched,True,False,True,S0MBV0QW,S0MBV0QW,S0MBV0QW,S0MBV0QWWIM5,S0MBV0QWWIM5,52,52,,https://www.otto.de/p/alltro-universal-tv-fernbedienung-passend-fuer-alle-telefunken-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0MBV0QW/?variationId=S0MBV0QWWIM5,"Alltro Universal TV Fernbedienung passend für alle Telefunken Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)","Alltro Universal TV Fernbedienung passend für alle Telefunken Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",44,,"Universal TV Fernbedienung passend für alle Telefunken Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",Universal TV Fernbedienung passend für alle Telefunken Fernseher Fernbedienung,https://www.otto.de/p/alltro-universal-tv-fernbedienung-passend-fuer-alle-telefunken-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0MBV0QW/,"11,95 €","14,95 €",-20%,"11,95 €","14,95 €",-20%,True,False,Sehr beliebt,Very popular,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,43,4.5,,,,https://i.otto.de/i/otto/5712ae4c-eb87-4193-a869-f724d258869f?$responsive_ft2$,Alltro,Fernbedienungen,,,,,False,,,exclude_accessory_keyword:fernbedienung,False
topseller_api,everglades/products + crocotile/tile/data,1,0,53,53,53,53,organic,api_enriched,True,False,True,,S0ZAP0XC,S0ZAP0XC,S0ZAP0XC5MPJ,S0ZAP0XC5MPJ,53,53,,https://www.otto.de/p/xoro-ptl-1015-v2-10-1-zoll-tragbarer-fernseher-mit-dvb-t2-h-265-hevc-tuner-portabler-monitor-25-6-cm-10-1-1024-600-px-hd-ready-lcd-mit-led-backlight-tragbarer-10-1-dvb-t2-fernseher-mit-akku-hdmi-und-mediaplayer-S0ZAP0XC/?variationId=S0ZAP0XC5MPJ,"Xoro PTL 1015 V2 10.1 Zoll Tragbarer Fernseher mit DVB-T2 H.265/HEVC Tuner Portabler Monitor (25,6 cm/10.1 "", 1024 × 600 px, HD Ready, LCD mit LED‑Backlight, Tragbarer 10,1'' DVB‑T2 Fernseher mit Akku, HDMI und Mediaplayer)","Xoro PTL 1015 V2 10.1 Zoll Tragbarer Fernseher mit DVB-T2 H.265/HEVC Tuner Portabler Monitor (25,6 cm/10.1 "", 1024 × 600 px, HD Ready, LCD mit LED‑Backlight, Tragbarer 10,1'' DVB‑T2 Fernseher mit Akku, HDMI und Mediaplayer)",45,,"PTL 1015 V2 10.1 Zoll Tragbarer Fernseher mit DVB-T2 H.265/HEVC Tuner Portabler Monitor (25,6 cm/10.1 "", 1024 × 600 px, HD Ready, LCD mit LED‑Backlight, Tragbarer 10,1'' DVB‑T2 Fernseher mit Akku, HDMI und Mediaplayer)",PTL 1015 V2 10.1 Zoll Tragbarer Fernseher mit DVB-T2 H.265/HEVC Tuner Portabler Monitor,https://www.otto.de/p/xoro-ptl-1015-v2-10-1-zoll-tragbarer-fernseher-mit-dvb-t2-h-265-hevc-tuner-portabler-monitor-25-6-cm-10-1-1024-600-px-hd-ready-lcd-mit-led-backlight-tragbarer-10-1-dvb-t2-fernseher-mit-akku-hdmi-und-mediaplayer-S0ZAP0XC/,"129,00 €","219,90 €",-41%,"129,00 €","219,90 €",-41%,True,False,,,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,AVAILABLE,5,4.0,D,https://i.otto.de/i/otto/f8d5da56-2ed2-42ea-ba84-986090fb0d34?$dv_energieetikett$,https://d.otto.de/files/641b18f1-5db7-4184-87fc-6d59abf29882.pdf,https://i.otto.de/i/otto/11daf877-ce7e-46e3-9bcd-07c50d8ed38e?$responsive_ft2$,Xoro,Monitore,"25,6 cm/ 10.1 Zoll",,"1024 × 600 px, HD Ready",,False,,,exclude_keyword:monitor,False
topseller_api,everglades/products + crocotile/tile/data,1,0,59,59,59,59,organic,api_enriched,True,False,True,,C1582142828,1582142828,1582142829,1582142829,59,59,,https://www.otto.de/p/hama-tv-wandhalterung-halterung-schwenkbar-neigbar-48-122-cm-19-48-bis-48-zoll-max-20-kg-C1582142828/?variationId=1582142829,"Hama TV-Wandhalterung Halterung, schwenkbar, neigbar 48 - 122 cm (19"" - 48), (bis 48 Zoll, max. 20 kg)","Hama TV-Wandhalterung Halterung, schwenkbar, neigbar 48 - 122 cm (19"" - 48), (bis 48 Zoll, max. 20 kg)",50,,"TV-Wandhalterung Halterung, schwenkbar, neigbar 48 - 122 cm (19"" - 48), (bis 48 Zoll, max. 20 kg)","TV-Wandhalterung Halterung, schwenkbar, neigbar 48 - 122 cm (19"" - 48)",https://www.otto.de/p/hama-tv-wandhalterung-halterung-schwenkbar-neigbar-48-122-cm-19-48-bis-48-zoll-max-20-kg-C1582142828/,"24,95 €","32,99 €",-24%,"24,95 €","32,99 €",-24%,True,False,Sehr beliebt,Very popular,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,AVAILABLE,951,4.5,,,,https://i.otto.de/i/otto/4e0fcf1a-b362-56dd-a4e4-90556d123b2b?$responsive_ft2$,Hama,Gerätehalterungen,,,,,True,,,"exclude_keyword:wandhalter,halterung",False
topseller_api,everglades/products + crocotile/tile/data,1,0,68,68,68,68,organic,api_enriched,True,False,True,,S0PFU03G,S0PFU03G,S0PFU03G6BCE,S0PFU03G6BCE,68,68,,https://www.otto.de/p/etoe-starfish-plus-google-tv-1080p-projektor-mit-nachttischlampe-lcd-beamer-3000-1-1920-1080-px-140-drehung-automatische-trapezkorrektur-integriertes-chromecast-S0PFU03G/?variationId=S0PFU03G6BCE,"ETOE Starfish plus Google TV 1080P Projektor mit Nachttischlampe LCD-Beamer (3000:1, 1920×1080 px, 140°-Drehung, automatische Trapezkorrektur, integriertes Chromecast)","ETOE Starfish plus Google TV 1080P Projektor mit Nachttischlampe LCD-Beamer (3000:1, 1920×1080 px, 140°-Drehung, automatische Trapezkorrektur, integriertes Chromecast)",58,,"Starfish plus Google TV 1080P Projektor mit Nachttischlampe LCD-Beamer (3000:1, 1920×1080 px, 140°-Drehung, automatische Trapezkorrektur, integriertes Chromecast)",Starfish plus Google TV 1080P Projektor mit Nachttischlampe LCD-Beamer,https://www.otto.de/p/etoe-starfish-plus-google-tv-1080p-projektor-mit-nachttischlampe-lcd-beamer-3000-1-1920-1080-px-140-drehung-automatische-trapezkorrektur-integriertes-chromecast-S0PFU03G/,"169,00 €","389,00 €",-57%,"169,00 €","389,00 €",-57%,True,False,,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,,,,,,https://i.otto.de/i/otto/c5339577-d2dd-409a-ae26-45dd3758991e?$responsive_ft2$,ETOE,Beamer,,,,,False,,,"exclude_keyword:projektor,beamer",False
topseller_api,everglades/products + crocotile/tile/data,1,0,71,71,71,71,organic,api_enriched,True,False,True,S0WBW0UA,S0WBW0UA,S0WBW0UA,S0WBW0UA5ZDG,S0WBW0UA5ZDG,71,71,,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-rc4875-rc-4875-fernseher-fernbedienung-S0WBW0UA/?variationId=S0WBW0UA5ZDG,Alltro Ersatz TV Fernbedienung für Telefunken RC4875 / RC-4875 / Fernseher Fernbedienung,Alltro Ersatz TV Fernbedienung für Telefunken RC4875 / RC-4875 / Fernseher Fernbedienung,61,,Ersatz TV Fernbedienung für Telefunken RC4875 / RC-4875 / Fernseher Fernbedienung,Ersatz TV Fernbedienung für Telefunken RC4875 / RC-4875 / Fernseher Fernbedienung,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-rc4875-rc-4875-fernseher-fernbedienung-S0WBW0UA/,"11,95 €","14,95 €",-20%,"11,95 €","14,95 €",-20%,True,False,,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,8,4.0,,,,https://i.otto.de/i/otto/26ebf39a-f037-49a6-97f2-980e79885532?$responsive_ft2$,Alltro,Fernbedienungen,,,,,False,,,exclude_accessory_keyword:fernbedienung,False
topseller_api,everglades/products + crocotile/tile/data,1,0,84,84,84,84,organic,api_enriched,True,False,True,S0MBV0SN,S0MBV0SN,S0MBV0SN,S0MBV0SN6A6U,S0MBV0SN6A6U,84,84,,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-rc5118-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0MBV0SN/?variationId=S0MBV0SN6A6U,"Alltro Ersatz TV Fernbedienung für Telefunken RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)","Alltro Ersatz TV Fernbedienung für Telefunken RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",73,,"Ersatz TV Fernbedienung für Telefunken RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",Ersatz TV Fernbedienung für Telefunken RC5118 Fernseher Fernbedienung,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-rc5118-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0MBV0SN/,"11,95 €","14,95 €",-20%,"11,95 €","14,95 €",-20%,True,False,,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,3,4.5,,,,https://i.otto.de/i/otto/5712ae4c-eb87-4193-a869-f724d258869f?$responsive_ft2$,Alltro,Fernbedienungen,,,,,False,,,exclude_accessory_keyword:fernbedienung,False
topseller_api,everglades/products + crocotile/tile/data,1,0,87,87,87,87,organic,api_enriched,True,False,True,,S0B5A06Y,S0B5A06Y,S0B5A06Y9CSO,S0B5A06Y9CSO,87,87,,https://www.otto.de/p/sonni-tv-schrank-schwarzer-tv-staender-mit-led-beleuchtung-stilvoll-140-180cm-breit-mit-12-led-farben-beleuchtung-tv-board-S0B5A06Y/?variationId=S0B5A06Y9CSO,SONNI TV-Schrank Schwarzer TV-Ständer mit LED-Beleuchtung Stilvoll 140-180cm breit mit 12 Led Farben Beleuchtung TV Board,SONNI TV-Schrank Schwarzer TV-Ständer mit LED-Beleuchtung Stilvoll 140-180cm breit mit 12 Led Farben Beleuchtung TV Board,76,,TV-Schrank Schwarzer TV-Ständer mit LED-Beleuchtung Stilvoll 140-180cm breit mit 12 Led Farben Beleuchtung TV Board,TV-Schrank Schwarzer TV-Ständer mit LED-Beleuchtung Stilvoll 140-180cm breit,https://www.otto.de/p/sonni-tv-schrank-schwarzer-tv-staender-mit-led-beleuchtung-stilvoll-140-180cm-breit-mit-12-led-farben-beleuchtung-tv-board-S0B5A06Y/,"99,99 €","245,99 €",-59%,"99,99 €","245,99 €",-59%,True,True,,,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,AVAILABLE,36,4.0,,,,https://i.otto.de/i/otto/de8dd4c1-cbe8-4f1a-a0d1-a39ae2238260?$responsive_ft2$,SONNI,Schränke,,,,,False,,,"exclude_keyword:tv-schrank,schrank,tv-ständer,ständer,tv board,beleuchtung",False
topseller_api,everglades/products + crocotile/tile/data,1,0,90,90,90,90,organic,api_enriched,True,False,True,S057T0ZLB7Q,S057T0ZL,S057T0ZL,S057T0ZLUO0D,S057T0ZLUO0D,90,90,,https://www.otto.de/p/jamega-antennenkabel-hdtv-full-hd-135db-75-ohm-koaxialkabel-4k-uhd-koax-steck-sat-kabel-tv-koax-1500-cm-S057T0ZL/?variationId=S057T0ZLUO0D,"JAMEGA Antennenkabel HDTV Full HD 135db 75 Ohm Koaxialkabel 4K UHD Koax Steck SAT-Kabel, TV Koax, (200 cm)","JAMEGA Antennenkabel HDTV Full HD 135db 75 Ohm Koaxialkabel 4K UHD Koax Steck SAT-Kabel, TV Koax, (200 cm)",79,,"Antennenkabel HDTV Full HD 135db 75 Ohm Koaxialkabel 4K UHD Koax Steck SAT-Kabel, TV Koax, (200 cm)",Antennenkabel HDTV Full HD 135db 75 Ohm Koaxialkabel 4K UHD Koax Steck SAT-Kabel,https://www.otto.de/p/jamega-antennenkabel-hdtv-full-hd-135db-75-ohm-koaxialkabel-4k-uhd-koax-steck-sat-kabel-tv-koax-1500-cm-S057T0ZL/,"7,49 €","12,98 €",-42%,"7,49 €","12,98 €",-42%,True,True,,,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,AVAILABLE,19,4.5,,,,https://i.otto.de/i/otto/32eea0ce-dc64-5408-afaa-56d6c4832ff4?$responsive_ft2$,JAMEGA,Kabel,,,,,False,,,"exclude_keyword:antenne,kabel",False
topseller_api,everglades/products + crocotile/tile/data,1,0,97,97,97,97,organic,api_enriched,True,False,True,S0MC90KZ,S0MC90KZ,S0MC90KZ,S0MC90KZF6PO,S0MC90KZF6PO,97,97,,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-allen-lg-tv-fernseher-fernbedienung-mit-netflix-amazon-tasten-S0MC90KZ/?variationId=S0MC90KZF6PO,"Alltro Ersatz TV Fernbedienung für Allen LG TV Fernseher Fernbedienung (Mit Netflix-, Amazon-Tasten)","Alltro Ersatz TV Fernbedienung für Allen LG TV Fernseher Fernbedienung (Mit Netflix-, Amazon-Tasten)",86,,"Ersatz TV Fernbedienung für Allen LG TV Fernseher Fernbedienung (Mit Netflix-, Amazon-Tasten)",Ersatz TV Fernbedienung für Allen LG TV Fernseher Fernbedienung,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-allen-lg-tv-fernseher-fernbedienung-mit-netflix-amazon-tasten-S0MC90KZ/,"12,95 €","14,95 €",-13%,"12,95 €","14,95 €",-13%,True,False,,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,3,4.5,,,,https://i.otto.de/i/otto/475c2eec-1dbe-4411-b3a4-edee7ea14144?$responsive_ft2$,Alltro,Fernbedienungen,,,,,False,,,exclude_accessory_keyword:fernbedienung,False
topseller_api,everglades/products + crocotile/tile/data,1,0,98,98,98,98,organic,api_enriched,True,False,True,S0NBV0OJ,S0NBV0OJ,S0NBV0OJ,S0NBV0OJA1OK,S0NBV0OJA1OK,98,98,,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-smart-tv-dvd-rc5118-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0NBV0OJ/?variationId=S0NBV0OJA1OK,"Alltro Ersatz TV Fernbedienung für Telefunken Smart TV DVD RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)","Alltro Ersatz TV Fernbedienung für Telefunken Smart TV DVD RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",87,,"Ersatz TV Fernbedienung für Telefunken Smart TV DVD RC5118 Fernseher Fernbedienung (Mit YouTube-, Netflix-Tasten)",Ersatz TV Fernbedienung für Telefunken Smart TV DVD RC5118 Fernseher Fernbedienung,https://www.otto.de/p/alltro-ersatz-tv-fernbedienung-fuer-telefunken-smart-tv-dvd-rc5118-fernseher-fernbedienung-mit-youtube-netflix-tasten-S0NBV0OJ/,"11,95 €","14,95 €",-20%,"11,95 €","14,95 €",-20%,True,False,,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,AVAILABLE,2,5.0,,,,https://i.otto.de/i/otto/5712ae4c-eb87-4193-a869-f724d258869f?$responsive_ft2$,Alltro,Fernbedienungen,,,,,False,,,exclude_accessory_keyword:fernbedienung,False
