source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,discount_type_raw,discount_type,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,1,0,1,1,1,1,sponsored,True,2081949178,2081949179,sponsored,https://www.otto.de/p/dreame-waschmaschine-dwf09m70daeu-9-kg-1400-u-min-automatikpflege-hygieneprogramm-inverter-motor-2081949178/,Dreame Waschmaschine DWF09M70DAEU,Gesponsert,Sponsored,Dreame,"479,00 €","749,00 €",-36%,lieferbar - in 3-5 Werktagen bei dir,Available - at your door in 3-5 working days,5,5.0,A,https://i.otto.de/i/otto/f9029038-bb32-5977-a444-b2754c648ee5?$dv_energieetikett$,https://d.otto.de/files/52081c5a-8800-5742-9b21-34dfcdd7c68f.pdf,"{""Kapazität Waschen"": ""9 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",,,,,ldy_keyword,True,1,1,main
topseller_api,1,0,2,2,2,2,sponsored,True,2081949123,2081949124,sponsored,https://www.otto.de/p/dreame-waschmaschine-dwf11l90taeu-11-kg-1400-u-min-oeko-waesche-inverter-motor-automatikpflege-2081949123/,Dreame Waschmaschine DWF11L90TAEU,Gesponsert,Sponsored,Dreame,"899,00 €","999,00 €",-10%,lieferbar - in 3-5 Werktagen bei dir,Available - at your door in 3-5 working days,5,5.0,A,https://i.otto.de/i/otto/67cca19c-823e-5431-80e1-f2f36e186eda?$dv_energieetikett$,https://d.otto.de/files/7ea9c57f-bf6b-5973-8db7-c940824e931c.pdf,"{""Kapazität Waschen"": ""11 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",,,,,ldy_keyword,True,2,2,main
topseller_api,1,0,3,3,3,3,organic,True,1811667670,1688613675,,https://www.otto.de/p/hanseatic-waschmaschine-hwma714a-7-kg-1400-u-min-inkl-3-jahre-herstellergarantie-1811667670/,Hanseatic Waschmaschine HWMA714A,,,Hanseatic,"299,99 €","529,00 €",-43%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,707,4.5,A,https://i.otto.de/i/otto/3d0ac503-b8bf-50e8-b89f-615ed8fa782a?$dv_energieetikett$,https://d.otto.de/files/f8cb9d31-c532-58e4-9068-b50cd5f2be0a.pdf,"{""Kapazität Waschen"": ""7 kg"", ""Betriebsgeräusch"": ""72 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",Sehr beliebt,Very popular,,,ldy_keyword,True,3,3,main
topseller_api,1,0,4,4,4,4,organic,True,1977698909,1977699601,,https://www.otto.de/p/samsung-waschmaschine-ww3000fm-ww90fg3m05aw-9-kg-1400-u-min-1977698909/,Samsung Waschmaschine WW3000FM WW90FG3M05AW,,,Samsung,"399,00 €","899,00 €",-56%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,153,4.0,A,https://i.otto.de/i/otto/1979ccc3-e14a-564e-9b76-708ef0c99782?$dv_energieetikett$,https://d.otto.de/files/1c6bd5bc-8488-56b0-8ad1-82827b8ee0db.pdf,"{""Kapazität Waschen"": ""9 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",Sehr beliebt,Very popular,nur diesen Monat,Only this month,ldy_keyword,True,4,4,main
topseller_api,1,0,5,5,5,5,organic,True,1772602503,1772603164,,https://www.otto.de/p/bauknecht-waschmaschine-super-eco-845-a-8-kg-1400-u-min-kurz-45-saubere-waesche-bei-voller-beladung-in-nur-45-minuten-1772602503/,BAUKNECHT Waschmaschine Super Eco 845 A,,,BAUKNECHT,"369,00 €","1.029,00 €",-64%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,1957,4.5,A,https://i.otto.de/i/otto/f98fe931-04e8-5777-8427-7bca6a6db7c6?$dv_energieetikett$,https://d.otto.de/files/78b868c6-a980-5952-82ee-f2f55e318133.pdf,"{""Kapazität Waschen"": ""8 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",Sehr beliebt,Very popular,,,ldy_keyword,True,5,5,main
topseller_api,1,0,6,6,6,6,organic,True,1826859148,1826859385,,https://www.otto.de/p/hanseatic-waschmaschine-hwma814b-8-kg-1400-u-min-inkl-3-jahre-herstellergarantie-1826859148/,Hanseatic Waschmaschine HWMA814B,,,Hanseatic,"289,99 €","499,00 €",-42%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,269,4.5,B,https://i.otto.de/i/otto/d81d254d-214f-55bb-bef0-541c3ca6f753?$dv_energieetikett$,https://d.otto.de/files/d26e5f2e-e817-5d6b-8213-814be255777c.pdf,"{""Kapazität Waschen"": ""8 kg"", ""Betriebsgeräusch"": ""72 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",Sehr beliebt,Very popular,,,ldy_keyword,True,6,6,main
topseller_api,1,0,7,7,7,7,organic,True,2054196869,2054196870,,https://www.otto.de/p/lg-waschmaschine-serie-x7-f4wx709yp-9-kg-1400-u-min-ai-wash-thinq-app-inkl-programm-download-14-minuten-kurzprogramm-2054196869/,LG Waschmaschine Serie X7 F4WX709YP,,,LG,"479,00 €","899,00 €",-47%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,61,5.0,A,https://i.otto.de/i/otto/fc7ea219-37c7-5059-923f-c9a28e774021?$dv_energieetikett$,https://d.otto.de/files/97efd978-efbd-5bcd-9ce5-e2bd9d7d8f6c.pdf,"{""Kapazität Waschen"": ""9 kg"", ""Betriebsgeräusch"": ""71 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",Sehr beliebt,Very popular,,,ldy_keyword,True,7,7,main
topseller_api,1,0,8,8,8,8,sponsored,True,S049X0OX,S049X0OXEY6R,sponsored,https://www.otto.de/p/exquisit-waschmaschine-wa57014-020a-7-kg-1400-u-min-40-kwh-37-l-76-db-geraeuschklasse-b-S049X0OX/,exquisit Waschmaschine WA57014-020A,Gesponsert,Sponsored,exquisit,"349,95 €","629,00 €",-44%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,5,4.0,A,https://i.otto.de/i/otto/2119a801-2ab3-4849-8dda-7c05f572ee79?$dv_energieetikett$,https://d.otto.de/files/69b1431b-07bc-4355-9178-b88b6b9b44f2.pdf,"{""Kapazität Waschen"": ""7 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",,,,,ldy_keyword,True,8,8,main
topseller_api,1,0,9,9,9,9,organic,True,S0ECN0L1,S0ECN0L1GLCE,,https://www.otto.de/p/sharp-waschmaschine-es-pro214ba-de-12-kg-1400-u-min-allergysmart-dampf-wifi-steuerung-per-app-12-kg-S0ECN0L1/,Sharp Waschmaschine ES-PRO214SA-DE,,,Sharp,"426,99 €","1.129,00 €",-62%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,14,4.5,A,https://i.otto.de/i/otto/b4f53320-cf40-4e42-bccb-0ffb311d716c?$dv_energieetikett$,https://d.otto.de/files/49710acf-177c-44be-ab5b-2972f7aebd09.pdf,"{""Kapazität Waschen"": ""12 kg"", ""Betriebsgeräusch"": ""77 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",,,,,ldy_keyword,True,9,9,main
topseller_api,1,0,10,10,10,10,organic,True,S0GEF0X0,S0GEF0X0P7EE,,https://www.otto.de/p/beko-waschmaschine-bm3wfu4741w1-7-kg-1400-u-min-energyspin-bis-zu-35-sparsamer-S0GEF0X0/,BEKO Waschmaschine BM3WFU4741W1,,,BEKO,"299,99 €","599,00 €",-50%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,3,5.0,A,https://i.otto.de/i/otto/9cac40fa-aa24-4583-a331-023d8cba071c?$dv_energieetikett$,https://d.otto.de/files/b2716f83-e058-4e1f-b94b-04ccc02151e5.pdf,"{""Kapazität Waschen"": ""7 kg"", ""Betriebsgeräusch"": ""76 dB(A)"", ""Schleuderdrehzahl"": ""1400 U/min""}",,,nur diesen Monat,Only this month,ldy_keyword,True,10,10,main
