source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,sku_popularity_raw,sku_popularity,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,discount_type_raw,discount_type,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,1,0,1,1,1,1,sponsored,True,2048256807,2048256808,sponsored,https://www.otto.de/p/lg-kuehl-gefrierkombination-serie-5-gbbs525cpy-203-cm-hoch-59-7-cm-breit-total-no-frost-thinq-mit-ai-fresh-saving-mode-2048256807/,LG Kühl-/Gefrierkombination Serie 5 GBBS525CEV,Gesponsert,Sponsored,LG,"599,00 €","1.099,00 €",-45%,Sehr beliebt,Very popular,lieferbar in 3 Wochen,Available in 3 weeks,75,4.5,C,https://i.otto.de/i/otto/7f0b1f67-ee1d-5bbb-811e-d22dd718b4d9?$dv_energieetikett$,https://d.otto.de/files/9ccba2de-b98c-5b79-87ac-0650eea0efef.pdf,"{""B/H/T"": ""59,7 x 203 x 67,5 cm"", ""Kapazität Kühlen"": ""262 l"", ""Kapazität Frieren"": ""113 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,ref_type_keyword,True,1,1,main
topseller_api,1,0,2,2,2,2,sponsored,True,2081949068,2081949075,sponsored,https://www.otto.de/p/dreame-kuehl-gefrierkombination-drb400wmbceu-185-cm-hoch-59-5-cm-breit-viel-platz-leise-modernes-design-2081949068/,Dreame Kühl-/Gefrierkombination DRB400WMBCEU,Gesponsert,Sponsored,Dreame,"699,00 €","799,00 €",-13%,,,lieferbar - in 3-5 Werktagen bei dir,Available - at your door in 3-5 working days,4,5.0,C,https://i.otto.de/i/otto/99089454-6084-590e-9f97-bbd7ec64eb19?$dv_energieetikett$,https://d.otto.de/files/7578f179-e5c2-5882-915c-ed8730884377.pdf,"{""B/H/T"": ""59,5 x 185 x 68 cm"", ""Kapazität Kühlen"": ""267 l"", ""Kapazität Frieren"": ""142 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,2,2,main
topseller_api,1,0,3,3,3,3,organic,True,1636476748,1688587477,,https://www.otto.de/p/hanseatic-multi-door-hcdb18080dwdbi-180-cm-hoch-79-cm-breit-inkl-3-jahre-herstellergarantie-1636476748/,Hanseatic Multi Door HCDB18080DWDI,,,Hanseatic,"599,00 €","1.049,00 €",-43%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,355,4.5,D,https://i.otto.de/i/otto/d14e1ef4-16b3-5590-ba41-da567edee02e?$dv_energieetikett$,https://d.otto.de/files/3d013926-1ad8-5089-abee-0f63a3e4d296.pdf,"{""B/H/T"": ""79 x 180 x 70 cm"", ""Kapazität Kühlen"": ""269 l"", ""Kapazität Frieren"": ""150 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,3,3,main
topseller_api,1,0,4,4,4,4,organic,True,1770812712,1770813070,,https://www.otto.de/p/samsung-kuehl-gefrierkombination-7300-serie-rl34c652csa-185-3-cm-hoch-59-5-cm-breit-no-frost-sowie-wifi-ai-energy-mode-smartthings-1770812712/,Samsung Kühl-/Gefrierkombination 7300 Serie RL34C652CSA,,,Samsung,"599,00 €","1.099,00 €",-45%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,887,5.0,C,https://i.otto.de/i/otto/138081f8-6f55-5f52-8751-1a7e895f17a8?$dv_energieetikett$,https://d.otto.de/files/028f9b00-72d5-5d76-8bd8-607d3eeea6b9.pdf,"{""B/H/T"": ""59,5 x 185,3 x 65,8 cm"", ""Kapazität Kühlen"": ""227 l"", ""Kapazität Frieren"": ""114 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,4,4,main
topseller_api,1,0,5,5,5,5,organic,True,1179220668,1404914084,,https://www.otto.de/p/gorenje-kuehl-gefrierkombination-rk4182ps4-180-cm-hoch-55-cm-breit-led-innenbeleuchtung-crispzone-eco-modus-1179220668/,GORENJE Kühl-/Gefrierkombination RK4182PS4,,,GORENJE,"299,00 €","524,00 €",-43%,Sehr beliebt,Very popular,lieferbar in 3 Wochen,Available in 3 weeks,778,4.5,E,https://i.otto.de/i/otto/4a5dfa4b-a997-5348-8c12-62c1d094e462?$dv_energieetikett$,https://d.otto.de/files/5d0f9bd6-7b3b-571b-b2c5-fd54f352dfdb.pdf,"{""B/H/T"": ""55 x 180 x 55,7 cm"", ""Kapazität Kühlen"": ""198 l"", ""Kapazität Frieren"": ""71 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,5,5,main
topseller_api,1,0,6,6,6,6,organic,True,652717574,1116521720,,https://www.otto.de/p/hanseatic-kuehl-gefrierkombination-hkgk14349dbi-143-cm-hoch-49-5-cm-breit-inkl-3-jahre-herstellergarantie-652717574/,Hanseatic Kühl-/Gefrierkombination HKGK14349DW,,,Hanseatic,"249,99 €","499,00 €",-50%,Sehr beliebt,Very popular,lieferbar in 6 Wochen,Available in 6 weeks,2729,4.5,D,https://i.otto.de/i/otto/a7e920ce-22d7-53ea-82e4-acd74ddee3bd?$dv_energieetikett$,https://d.otto.de/files/d2a6261a-537a-57f9-94eb-bb272f86644f.pdf,"{""B/H/T"": ""49,5 x 143 x 56,2 cm"", ""Kapazität Kühlen"": ""122 l"", ""Kapazität Frieren"": ""53 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,ref_type_keyword,True,6,6,main
topseller_api,1,0,7,7,7,7,organic,True,816069101,1116777386,,https://www.otto.de/p/hanseatic-multi-door-hcd17884ei-177-5-cm-hoch-83-3-cm-breit-inkl-3-jahre-herstellergarantie-816069101/,Hanseatic Multi Door HCD17884EI,,,Hanseatic,"579,99 €","1.099,00 €",-47%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,1199,4.5,E,https://i.otto.de/i/otto/e7e4de3a-940b-57fc-aa1a-68b31bfd6dd3?$dv_energieetikett$,https://d.otto.de/files/e3ba3bc2-7b11-50de-86ff-4d7acf5170fd.pdf,"{""B/H/T"": ""83,3 x 177,5 x 74 cm"", ""Kapazität Kühlen"": ""329 l"", ""Kapazität Frieren"": ""163 l"", ""Betriebsgeräusch"": ""40 dB(A)""}",,,ref_type_keyword,True,7,7,main
topseller_api,1,0,8,8,8,8,sponsored,True,S0QF501A,S0QF501ARKWD,sponsored,https://www.otto.de/p/exquisit-kuehlschrank-fd5490-160-ws-202e-183-cm-hoch-83-6-cm-breit-super-kuehl-modus-schnell-gefrierfunktion-nofrost-wasserspender-S0QF501A/,exquisit Kühlschrank FD5490-160-WS-202E,Gesponsert,Sponsored,exquisit,"949,95 €","1.929,00 €",-51%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,E,https://i.otto.de/i/otto/af0d85d1-8993-4155-b10c-1408417a5fb8?$dv_energieetikett$,https://d.otto.de/files/2ac355d8-5d14-4bb1-8103-22acda615df1.pdf,"{""B/H/T"": ""83.6 x 183 x 70.6 cm"", ""Betriebsgeräusch"": ""38 dB(A)""}",,,ref_type_keyword,True,8,8,main
topseller_api,1,0,9,9,9,9,organic,True,1563638195,1563638231,,https://www.otto.de/p/hanseatic-kuehl-gefrierkombination-hkgk17954dwdi-179-5-cm-hoch-55-cm-breit-inkl-3-jahre-herstellergarantie-1563638195/,Hanseatic Kühl-/Gefrierkombination HKGK17954DWDI,,,Hanseatic,"379,99 €","529,00 €",-28%,Sehr beliebt,Very popular,lieferbar in 2 Wochen,Available in 2 weeks,373,4.5,D,https://i.otto.de/i/otto/68944677-70e4-529d-ac27-948c119a9b8f?$dv_energieetikett$,https://d.otto.de/files/4c6b6426-7293-50b5-a130-bd4eb6497142.pdf,"{""B/H/T"": ""55 x 179,5 x 56 cm"", ""Kapazität Kühlen"": ""189 l"", ""Kapazität Frieren"": ""71 l"", ""Betriebsgeräusch"": ""40 dB(A)""}",,,ref_type_keyword,True,9,9,main
topseller_api,1,0,10,10,10,10,organic,True,1794488444,1794488833,,https://www.otto.de/p/hanseatic-french-door-hfd18983dwdbi-189-8-cm-hoch-83-3-cm-breit-1794488444/,Hanseatic French Door HFD18983DWDBI,,,Hanseatic,"799,00 €","1.699,00 €",-53%,Sehr beliebt,Very popular,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,130,5.0,D,https://i.otto.de/i/otto/8bc7e844-de90-59db-8b1a-53869fd282a9?$dv_energieetikett$,https://d.otto.de/files/9a0e6228-de8e-55e7-b12b-0626bd744e4a.pdf,"{""B/H/T"": ""83,3 x 189,8 x 65,3 cm"", ""Kapazität Kühlen"": ""343 l"", ""Kapazität Frieren"": ""169 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,ref_type_keyword,True,10,10,main
