source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,discount_type_raw,discount_type,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,classify_reason,is_target,main_rank,bsr_rank,page_type
topseller_api,1,0,1,1,1,1,sponsored,True,1975567703,1975567707,sponsored,https://www.otto.de/p/samsung-gq55s85fau-oled-fernseher-138-cm-55-zoll-4k-ultra-hd-smart-tv-hdr-dolby-atmos-ai-sound-pantone-farben-gaming-hub-bis-zu-120hz-1975567703/,Samsung GQ55S85FAU OLED-Fernseher,Gesponsert,Sponsored,Samsung,"777,00 €","1.999,00 €",-61%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,13,5.0,G,https://i.otto.de/i/otto/a39ad6bc-88e1-53d4-8893-e182a4077690?$dv_energieetikett$,https://d.otto.de/files/48fc0b5d-815b-5a69-aca1-f9cd0edfce9d.pdf,"{""Diagonale"": ""138 cm/55 Zoll"", ""Bildschirmtechnologie"": ""OLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""120 Hz""}",,,tv_product_signature,True,1,1,main
topseller_api,1,0,2,2,2,2,sponsored,True,1975567809,1975567811,sponsored,https://www.otto.de/p/samsung-gq65s90fat-oled-fernseher-163-cm-65-zoll-4k-ultra-hd-smart-tv-hdrplus-dolby-atmos-ai-sound-gaming-hub-upscaling-pro-bis-zu-144hz-1975567809/,Samsung GQ65S90FAT OLED-Fernseher,Gesponsert,Sponsored,Samsung,"1.299,00 €","3.199,00 €",-59%,nur für kurze Zeit,Only for a short time,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,51,4.5,F,https://i.otto.de/i/otto/05237dbb-479e-579b-9b0b-17717aad2800?$dv_energieetikett$,https://d.otto.de/files/3ed59e2a-f0ea-5f6b-bbce-f9ef2bf4ee3c.pdf,"{""Diagonale"": ""163 cm/65 Zoll"", ""Bildschirmtechnologie"": ""OLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,2,2,main
topseller_api,1,0,3,3,3,3,organic,True,C2000548368,2000548369,,https://www.otto.de/p/philips-32phs6000-12-led-fernseher-80-cm-32-zoll-hd-ready-smart-tv-pixel-plus-hd-hdr10-hlg-dolby-audio-vocal-boost-C2000548368/,Philips 32PHS6000/12 LED-Fernseher,,,Philips,"139,00 €","299,00 €",-54%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,303,4.5,E,https://i.otto.de/i/otto/76182654-d7e3-597e-b990-3ffb3b5a78d1?$dv_energieetikett$,https://d.otto.de/files/902497fd-3f54-5acb-a0d0-74d8a92fad7b.pdf,"{""Diagonale"": ""80 cm/32 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""HD ready"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,3,3,main
topseller_api,1,0,4,4,4,4,organic,True,1995107347,1995107348,,https://www.otto.de/p/samsung-gq55q6faau-qled-fernseher-138-cm-55-zoll-4k-ultra-hd-smart-tv-1995107347/,Samsung GQ55Q6FAAU QLED-Fernseher,,,Samsung,"399,00 €","849,00 €",-53%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,322,4.5,G,https://i.otto.de/i/otto/41077649-b101-5fc6-bd49-86a460f9dbe8?$dv_energieetikett$,https://d.otto.de/files/36666199-0875-55fa-adea-9e50889bd879.pdf,"{""Diagonale"": ""138 cm/55 Zoll"", ""Bildschirmtechnologie"": ""QLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,4,4,main
topseller_api,1,0,5,5,5,5,organic,True,2022351586,2022351587,,https://www.otto.de/p/philips-43pfs5500-12-led-fernseher-108-cm-43-zoll-full-hd-non-smart-pixel-plus-hd-dolby-audio-triple-tuner-2022351586/,Philips 43PFS5500/12 LED-Fernseher,,,Philips,"199,00 €","429,00 €",-54%,,,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,38,4.5,E,https://i.otto.de/i/otto/1ae1493b-eb15-5697-8bc6-14e309876a9a?$dv_energieetikett$,https://d.otto.de/files/dfe69b5b-4e41-5297-acc7-cd0b9393c663.pdf,"{""Diagonale"": ""108 cm/43 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""Full HD"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,5,5,main
topseller_api,1,0,6,6,6,6,organic,True,C1842439031,1842439032,,https://www.otto.de/p/hisense-58e6nt-dled-fernseher-146-00-cm-58-zoll-vidaa-u7-6-game-mode-plus-uhd-ai-upscaler-sprachassistenten-C1842439031/,Hisense 58E6NT LED-Fernseher,,,Hisense,"339,99 €","699,00 €",-51%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,304,4.5,E,https://i.otto.de/i/otto/9edee2a5-e7af-5d37-a290-90979d06e53b?$dv_energieetikett$,https://d.otto.de/files/9d68a11d-5721-58e9-9686-b8604b7b8477.pdf,"{""Diagonale"": ""146 cm/58 Zoll"", ""Bildschirmtechnologie"": ""D-LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,6,6,main
topseller_api,1,0,7,7,7,7,organic,True,1975568029,1975568030,,https://www.otto.de/p/samsung-gu43u7099fu-led-fernseher-108-cm-43-zoll-4k-ultra-hd-smart-tv-crystal-uhd-q-symphony-dolby-surround-sound-triple-tuner-smart-hub-1975568029/,Samsung GU43U7099FU LED-Fernseher,,,Samsung,"269,00 €","499,00 €",-46%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,386,4.5,G,https://i.otto.de/i/otto/2a2e325a-28f1-55fa-8625-27b2c01daf7d?$dv_energieetikett$,https://d.otto.de/files/3e145ad5-052b-5621-992e-0b0886c58262.pdf,"{""Diagonale"": ""108 cm/43 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""50 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,7,7,main
topseller_api,1,0,8,8,8,8,sponsored,True,1975567668,1975567669,sponsored,https://www.otto.de/p/samsung-gq55s90fae-oled-fernseher-138-cm-55-zoll-4k-ultra-hd-smart-tv-hdrplus-dolby-atmos-ai-sound-gaming-hub-upscaling-pro-bis-zu-144hz-1975567668/,Samsung GQ55S90FAE OLED-Fernseher,Gesponsert,Sponsored,Samsung,"949,00 €","2.399,00 €",-60%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,63,4.5,G,https://i.otto.de/i/otto/0f679ba7-a4f4-5b13-b593-9567e5692e6b?$dv_energieetikett$,https://d.otto.de/files/efde82c4-010e-53ce-a44b-c4b5aa1eebef.pdf,"{""Diagonale"": ""138 cm/55 Zoll"", ""Bildschirmtechnologie"": ""OLED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""144 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,8,8,main
topseller_api,1,0,9,9,9,9,organic,True,S00FF0SA,S00FF0SAMTZB,,https://www.otto.de/p/hisense-hisense-136mxq-mini-led-fernseher-345-cm-S00FF0SA/,HISENSE 136MXQ Mini-LED-Fernseher,,,Hisense,"129.000,00 €",,,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,,,D,https://i.otto.de/i/otto/89f1817b-950a-4c4c-863d-6a4cd0fc147a?$dv_energieetikett$,https://d.otto.de/files/5fc94434-ab6d-4f05-8c9a-a8efee66ac77.pdf,,,,tv_product_signature,True,9,9,main
topseller_api,1,0,10,10,10,10,organic,True,C1980401110,1980401111,,https://www.otto.de/p/philips-50pus7000-12-led-fernseher-126-cm-50-zoll-4k-ultra-hd-smart-tv-pixel-precise-uhd-hdr10plus-dolby-atmos-dts-x-sound-gaming-C1980401110/,Philips 50PUS7000/12 LED-Fernseher,,,Philips,"299,00 €","549,00 €",-46%,nur für kurze Zeit,Only for a short time,lieferbar - in 1-2 Werktagen bei dir,Available - at your door in 1-2 working days,118,4.5,E,https://i.otto.de/i/otto/8dfe288b-0e00-55b6-8e75-66edb3c71d6b?$dv_energieetikett$,https://d.otto.de/files/ef854413-91bd-5baa-a2e5-7aa206a77dba.pdf,"{""Diagonale"": ""126 cm/50 Zoll"", ""Bildschirmtechnologie"": ""LED"", ""Auflösung"": ""4K Ultra HD"", ""Internetfähigkeit"": ""Smart-TV"", ""Bildwiederholfrequenz"": ""60 Hz""}",Sehr beliebt,Very popular,tv_product_signature,True,10,10,main
